"Name","Location","Type","Data Type","Namespace","Source"
"read_thread_mode","01128aad","Data Label","undefined1","Global","User Defined"
"gMoviePlay","0112a008","Data Label","undefined4","Global","User Defined"
"gMoviePicture","0112a00c","Data Label","undefined4","Global","User Defined"
"battleInMonitor","0112a060","Data Label","undefined4","Global","User Defined"
"dvd_hdd_copy_system_cnf_buff","0112a064","Data Label","undefined4","Global","User Defined"
"dvd_hdd_copy_system_cnf_buff_size","0112a068","Data Label","undefined4","Global","User Defined"
"hdd_inst_info","0112a509","Data Label","undefined1","Global","User Defined"
"btl","0112a8d0","Data Label","Btl","Global","User Defined"
"g_keydown_R","0112ca20","Data Label","undefined4","Global","User Defined"
"g_keybattle","0112ca24","Data Label","undefined4","Global","User Defined"
"g_autotestDisableBattle","0112ca2c","Data Label","undefined1","Global","User Defined"
"force_wait_blur_frame_count","0112ca64","Data Label","undefined4","Global","User Defined"
"gLoadingPhyreBattleMapData","0112ca68","Data Label","undefined4","Global","User Defined"
"HardCode_Battle_AeonName","0112ca78","Data Label","undefined4","Global","User Defined"
"save_ram","0112ca90","Data Label","SaveData","Global","User Defined"
"ms_effect_from_magicfile","0113335c","Data Label","undefined4","Global","User Defined"
"Damage_9999_flag","01133390","Data Label","undefined4","Global","User Defined"
"Damage_99999_flag","01133394","Data Label","undefined4","Global","User Defined"
"g_MsSetDeath_NoDeathMotion","01133398","Data Label","undefined4","Global","User Defined"
"delayToHideChCount","011334c8","Data Label","undefined4","Global","User Defined"
"+player_chrs","011334cc","Data Label","Chr *","Global","User Defined"
"+monster_chrs","01134460","Data Label","Chr *","Global","User Defined"
"+weapons","01134464","Data Label","Weapon *","Global","User Defined"
"+chr_loots","01136060","Data Label","ChrLoot *","Global","User Defined"
"isBtlSetStat","011363a8","Data Label","undefined4","Global","User Defined"
"ZanmatoSep","011363b0","Data Label","undefined4","Global","User Defined"
"delayToHideFlag","01136b40","Data Label","undefined","Global","User Defined"
"subScreenOffsetX","01136fa0","Data Label","undefined","Global","User Defined"
"subScreenOffsetY","01136fa4","Data Label","undefined","Global","User Defined"
"ms_screen","01136fe0","Data Label","undefined","Global","User Defined"
"ms_camera","01137520","Data Label","undefined","Global","User Defined"
"ms_camera","01137550","Data Label","undefined1","Global","User Defined"
"ms_camera_window_flag","01139ec0","Data Label","undefined4","Global","User Defined"
"ms_camera_ref_flag","01139ec4","Data Label","undefined4","Global","User Defined"
"ms_camera_cam_flag","01139ec8","Data Label","undefined4","Global","User Defined"
"ms_battle_info_flag","01139ed0","Data Label","undefined4","Global","User Defined"
"ms_battle_window_flag","01139ed4","Data Label","undefined4","Global","User Defined"
"ms_battle_console_flag","01139ed8","Data Label","undefined4","Global","User Defined"
"ms_battle_config_flag","01139edc","Data Label","undefined4","Global","User Defined"
"ms_battle_chr1_flag","01139ee0","Data Label","undefined4","Global","User Defined"
"ms_battle_chr2_flag","01139ee4","Data Label","undefined4","Global","User Defined"
"ms_camera_shake_flag","01139ee8","Data Label","undefined4","Global","User Defined"
"os_mat_wv","0113fcb0","Data Label","undefined4","Global","User Defined"
"spr_a","0119fdf0","Data Label","undefined","Global","User Defined"
"osbtl","0119fe70","Data Label","undefined4","Global","User Defined"
"+opus_weapons","0119fe80","Data Label","pointer[4]","Global","User Defined"
"spr_rev_a","0119ff70","Data Label","undefined","Global","User Defined"
"os_fog","0119fff0","Data Label","undefined1","Global","User Defined"
"os_mat_unit","011a0080","Data Label","undefined","Global","User Defined"
"ow_init_work_f","011a06e0","Data Label","undefined1","Global","User Defined"
"eff_rgba_w","011a0850","Data Label","undefined","Global","User Defined"
"os_omdc_cue","011a11c0","Data Label","undefined4","Global","User Defined"
"ow_prim","011a1240","Data Label","undefined","Global","User Defined"
"owu_new_osu_a","012a12b8","Data Label","undefined4","Global","User Defined"
"owu_osc","012a12bc","Data Label","undefined4","Global","User Defined"
"os_pad","012a1330","Data Label","undefined","Global","User Defined"
"owu_chr_status","012a2280","Data Label","undefined4","Global","User Defined"
"owu_osua_ta","012a4080","Data Label","undefined4","Global","User Defined"
"owu_eff_status","012a40c0","Data Label","undefined4","Global","User Defined"
"owu_chr_hd","012a80c0","Data Label","undefined4","Global","User Defined"
"owu_chr_drawoff_back","012a8480","Data Label","undefined1","Global","User Defined"
"owu_chr_drawoff","012a8570","Data Label","undefined1","Global","User Defined"
"odat_et_ffx","012a8660","Data Label","undefined4","Global","User Defined"
"odat_et_tex","012a8664","Data Label","undefined","Global","User Defined"
"uv_0154_omd_buf","012e95d8","Data Label","undefined4","Global","User Defined"
"uv_0154_omd_buf_idx","012e95e0","Data Label","undefined4","Global","User Defined"
"sippo_flag","012f40d4","Data Label","undefined4","Global","User Defined"
"g_iIsCloudLocalFull","012fb788","Data Label","undefined4","Global","User Defined"
"g_godmode","012fb78c","Data Label","undefined4","Global","User Defined"
"gParticleDoNotRender","012fb790","Data Label","undefined4","Global","User Defined"
"gFrameSkipDoNotRender","012fb798","Data Label","undefined4","Global","User Defined"
"sg_vcount","012fb7a8","Data Label","undefined4","Global","User Defined"
"msMagicFileStartFlag","012fb870","Data Label","undefined4","Global","User Defined"
"selectLoad","012fb878","Data Label","undefined4","Global","User Defined"
"flg_dream","012fb8a8","Data Label","undefined4","Global","User Defined"
"dreamTexLoadNum","012fb8ac","Data Label","undefined4","Global","User Defined"
"g_eventId","012fbbf8","Data Label","undefined4","Global","User Defined"
"PLAYER","012fbc18","Data Label","undefined4","Global","User Defined"
"ClothLoadingDataPool","012fc550","Data Label","undefined","Global","User Defined"
"gChHideCount","012ffa8c","Data Label","undefined4","Global","User Defined"
"dreamFadeFlag","012ffaa0","Data Label","undefined4","Global","User Defined"
"fadeDirAcc","012ffaa4","Data Label","undefined4","Global","User Defined"
"timeBase","012ffaa8","Data Label","undefined","Global","User Defined"
"fadeAlpha","012ffaac","Data Label","undefined","Global","User Defined"
"gYunaBrokenTongue","01300898","Data Label","undefined4","Global","User Defined"
"Mouse_X","01325200","Data Label","int","Global","User Defined"
"Mouse_Y","01325204","Data Label","int","Global","User Defined"
"g_albhed","01325a84","Data Label","undefined4","Global","User Defined"
"delayStopSep","01325b3c","Data Label","undefined4","Global","User Defined"
"albhed_num","01325b4c","Data Label","undefined4","Global","User Defined"
"+AtelCurCtrlWork","01326ae8","Data Label","AtelWorkerController *","Global","User Defined"
"g_subtitleException","013270c0","Data Label","undefined4","Global","User Defined"
"g_is2Dmap","013270c4","Data Label","undefined4","Global","User Defined"
"IsEternalCalmOver","013270c8","Data Label","undefined4","Global","User Defined"
"IsAtelTextureLoaded","01327100","Data Label","undefined4","Global","User Defined"
"AtelCallTargets","01328518","Data Label","AtelCallTarget *[16]","Global","User Defined"
"+total_sync_v_counter","013301d0","Data Label","undefined4","Global","User Defined"
"TkClipBuf","013306c0","Data Label","undefined","Global","User Defined"
"ffx_langmode","013307f0","Data Label","undefined1","Global","User Defined"
"TkTGSFlag","013307f2","Data Label","undefined1","Global","User Defined"
"ffx_asiaflag","013307f3","Data Label","undefined1","Global","User Defined"
"curEventId","01330804","Data Label","undefined4","Global","User Defined"
"ffx_debugmode","0133c8d0","Data Label","undefined1","Global","User Defined"
